31687,42603,35946,52308,28247,29631,45061,35295,35115,37670,29893,37026,38229,34236,45400,45000,44406,36321,38112,37448,42448,35471,34859,33713,40318,46663,38629,26092,22210,23650,42218,43707,38777,45085,43063,38119,28881,42161,34859,42398,34863,40479,46113,52130,38337,40069,44215,29253,24661,42674,25864,36189,42410,29698,27634,42833,32926,31486,35825,34268,35107,28909,36566,35390,30618,37960,39035,34918,35519,34764,35055,36181,30535,36425,34754,44078,40480,25492,18675,35775,46242,40394,27154,40649,35034,45620,27864,37087,35092,39858,31553,44516,52823,37499,43958,27145,19061,38134,33634,32826
31581,42278,35898,52146,28153,29641,45033,35551,35247,37484,30043,37169,38213,34200,45254,44983,44288,36304,38124,37662,42427,35301,35157,33694,40372,46363,38483,26058,21800,23255,42117,43547,38742,44617,42948,38107,29006,41960,34912,42134,34464,40442,46132,51590,38210,40342,44269,29298,24643,42628,25929,36320,42633,29868,27700,42822,33031,31912,36200,34690,35156,29106,36766,35484,30818,38178,39091,34962,35723,35156,35091,36321,30651,37001,35140,43653,40365,25700,18708,35944,46301,40450,27190,40779,35097,45764,27995,37048,35197,39947,31637,44188,52340,37796,43825,27263,19069,38020,33665,32927
31728,42742,36096,52645,28520,29990,45420,35687,35235,38097,30307,37475,38771,34297,45893,45538,44831,36894,38421,37925,42812,35347,35228,33814,40543,46732,38914,25347,21901,23338,42442,43991,39031,44076,43421,38358,29141,42436,35071,42145,34526,40631,46293,51794,38523,39796,44059,29458,24855,42990,26080,36651,42748,30074,28015,43047,33289,31717,36366,34338,35439,29181,36920,35818,31033,38361,39189,35438,35336,35029,35313,36412,30821,36814,35251,43845,40760,24910,18569,36299,46652,40726,27129,41059,34803,45750,28082,37110,35262,39982,31771,43948,52367,37532,43879,27306,19092,37891,33754,33071
31916,43175,36366,52845,28532,30095,45503,35697,34944,38099,30217,37373,38485,34403,45947,45433,44606,36766,38647,37339,42721,35439,34990,33576,39831,46294,38500,25698,21713,23349,42388,43643,38789,45005,43339,38443,28934,41779,35028,42571,34619,40663,46379,51050,38087,40124,44210,29473,24821,42904,26136,37130,42812,30230,27963,43196,32961,31553,35822,34061,35404,29050,36637,35563,31129,38357,39297,35048,35573,34705,35175,36323,30529,36312,34939,43477,40246,25229,18199,35780,46173,40468,27276,40855,34523,45852,27859,37089,35247,39613,31701,44411,51724,37565,43720,27231,19164,37953,33737,33103
31818,42291,36014,52178,28478,29671,44913,35631,35136,37722,30301,37306,38445,34209,45156,44930,44354,36599,38111,37488,42644,35523,35041,33597,40077,46522,38306,26007,22369,22978,42311,43535,38559,44052,43007,37906,28935,41808,34814,41927,34842,40458,45978,51081,38128,40163,44407,29432,24633,42741,26079,36292,42711,29936,27673,42790,32908,31599,35768,34286,35102,29257,36827,35414,30723,38084,38878,34889,35459,35043,35146,36364,30495,36491,34931,43882,40208,25634,19028,35819,45938,40232,27083,40319,34722,45250,27925,36905,34982,39618,31480,43713,51651,37727,43802,27320,18910,38458,33706,33017
32187,43233,36354,52380,28673,30005,45253,35702,34951,38238,30384,37474,38537,34625,45611,45027,44680,36805,37854,37430,42767,35700,35223,33727,39917,46569,38485,25696,22112,23598,42273,43571,38846,43877,43109,37839,29020,41815,34936,42019,34884,40684,46000,51165,38158,39714,44047,29445,25051,42862,26288,36836,42702,30089,27878,42856,33006,31561,35650,34159,35272,29221,36774,35541,31032,38065,38764,35064,35203,34783,35158,36527,30568,36378,34681,43567,40251,25145,18687,35814,46039,40414,27275,40174,34571,45046,27985,36967,34967,39489,31631,43657,51633,37350,43902,27315,19335,38087,33715,32983
32214,43207,36561,52291,28575,29821,44604,35596,35147,37769,30170,37366,39159,34583,45482,45178,43935,37284,39170,37471,42590,35210,35025,33496,40360,45954,38945,25301,21798,23716,41979,43883,38570,42913,43056,38316,29024,42508,34753,41671,34466,40468,45785,51050,38525,39511,43711,29369,24797,42625,26279,37252,42519,30046,27847,42506,33613,32357,36975,34555,35256,29285,36985,35763,31206,37702,39336,35498,36290,34876,35510,36355,30542,36978,35134,44201,40796,24863,18609,35829,46318,40560,27333,40218,35465,44853,27969,36946,34565,40448,31413,43300,52149,37208,43661,27222,19314,37745,33658,32758
32140,42382,36374,52296,28679,29847,44684,35240,34960,37951,30279,37477,38690,34386,45366,44938,44036,36436,38337,37498,42763,35282,35118,33382,40055,47346,38826,25697,21734,22994,41841,44399,38882,43926,43017,38197,28959,42023,34799,42021,34394,40610,46098,51779,38339,40126,44124,29395,24668,42829,26275,36709,42600,30038,27817,42855,33023,31496,35625,34235,35367,29305,37044,35684,31017,37945,39062,35034,35358,34983,35216,36490,30396,36607,34874,44519,40771,25378,18613,35733,46694,40667,27330,40924,35103,45498,27894,37003,34898,39824,31474,43980,52618,37665,44300,27281,19170,38097,33870,32876
32125,43379,36409,52205,28458,29684,44769,35643,34819,38071,30246,37416,38579,34588,45605,44685,44367,36634,37989,37360,42668,35504,35085,33233,39934,46977,38243,25814,22043,23702,41776,43728,38506,43884,42632,37739,28850,41826,34667,41963,34769,40766,45723,51584,38344,39727,44004,29277,24882,42861,26219,37061,42476,29790,27561,42423,33135,31668,35349,34235,35041,29102,36713,35553,31109,37897,38462,34805,35041,34875,34980,36339,30274,36341,34578,44023,40076,25252,18815,35190,46236,40382,27432,39853,35084,45276,27815,36539,34693,39648,31255,43827,52099,37460,43897,27096,19405,38182,33600,32799
32118,42549,36246,52611,28535,29849,45046,35824,35381,37951,30410,37516,38806,34395,45453,44969,44822,36666,38117,38178,42985,35274,35129,33752,40848,46413,38482,25625,21789,23109,42236,43699,38861,43730,42613,38010,29054,42277,34770,41935,34529,40678,45938,51396,38410,39882,44019,29471,24632,42939,26181,36710,42837,30008,27790,42795,33445,32001,35921,34856,35106,29231,36854,35897,30851,38116,38697,35010,35534,35419,35166,36395,30711,36973,34871,43864,40382,25122,18451,35748,46468,40744,27021,40132,35106,45344,27921,36658,34842,39972,31359,43772,52140,37469,43906,27302,19039,37960,33659,32948
